Surfactant Concentration (M),Fatigue Strength (MPa)
6.097834030266027,2.5838810012241997,PBA-a
8.422734487528986,5.197319542517516,PBA-a
16.50479569615008,0.8017677407427319,PBA-a
18.0837164081739,4.8435583693676865,PBA-a
6.097834030266027,-1.3271134659503054,P(Baph)
8.422734487528986,-1.408490448162114,P(Baph)
16.50479569615008,-1.4772768140934542,P(Baph)
18.0837164081739,-1.4798726184683968,P(Baph)
6.097834030266027,5.982011226208952,Poly(4-vinyl pyridine)
8.422734487528986,5.89087407438902,Poly(4-vinyl pyridine)
16.50479569615008,5.814296428565349,Poly(4-vinyl pyridine)
18.0837164081739,5.811652504129848,Poly(4-vinyl pyridine)
6.097834030266027,2.75614096922253,Poly(ethyl methacrylate)
8.422734487528986,5.776730597258703,Poly(ethyl methacrylate)
16.50479569615008,35.324008009399684,Poly(ethyl methacrylate)
18.0837164081739,848.291376737346,Poly(ethyl methacrylate)
6.097834030266027,0.9054476276055358,Poly(alpha-methylstyrene)
8.422734487528986,0.7840499555933795,Poly(alpha-methylstyrene)
16.50479569615008,0.7112904086719414,Poly(alpha-methylstyrene)
18.0837164081739,0.7087121942816293,Poly(alpha-methylstyrene)
