Polymer Molecular Weight (g/mol),Shear Viscosity (Pa·s)
0.8713773553508131,-4.265542671762368,0.79% Bentonite/BECy
1.3464874647928182,-4.192720523105853,0.79% Bentonite/BECy
7.8856640721451825,-5.499765087460859,0.79% Bentonite/BECy
10.401331541106549,-1.718468306362222,0.79% Bentonite/BECy
16.05003888830291,-9.797051168522335,0.79% Bentonite/BECy
0.8713773553508131,1.650478405963937,0.04% Bentonite/BECy
1.3464874647928182,1.7579534568952233,0.04% Bentonite/BECy
7.8856640721451825,1.374074485570496,0.04% Bentonite/BECy
10.401331541106549,1.231816004674715,0.04% Bentonite/BECy
16.05003888830291,1.1217071832766883,0.04% Bentonite/BECy
