Reaction Temperature (°C),Tensile Modulus (GPa)
9,-1.352724706151311,0.91% Au/PEEK
11,0.06554922260062135,0.91% Au/PEEK
13,-2.97018436493283,0.91% Au/PEEK
17,19.349866230996177,0.91% Au/PEEK
18,-12.84285162343434,0.91% Au/PEEK
9,-6.921272033412443,0.62% Au/PEEK
11,-6.954501999667448,0.62% Au/PEEK
13,-6.969339156116171,0.62% Au/PEEK
17,-6.984268354809442,0.62% Au/PEEK
18,-6.985627561675597,0.62% Au/PEEK
9,5.637999424879744,0.41% Au/PEEK
11,5.616328292858844,0.41% Au/PEEK
13,5.593380128629718,0.41% Au/PEEK
17,5.579129192230283,0.41% Au/PEEK
18,5.577478276277782,0.41% Au/PEEK
