Drying Time (h),Complex Viscosity (Pa·s)
3,-0.4220623144293931,0.44% silica nanoparticles/Poly(methyl acrylate)
8,-0.8092774085455035,0.44% silica nanoparticles/Poly(methyl acrylate)
9,-0.8775585170859805,0.44% silica nanoparticles/Poly(methyl acrylate)
16,-1.0255252871038527,0.44% silica nanoparticles/Poly(methyl acrylate)
1,-4.122097555213764,0.94% silica nanoparticles/Poly(methyl acrylate)
9,-3.338059315341768,0.94% silica nanoparticles/Poly(methyl acrylate)
11,-0.09241300701368615,0.94% silica nanoparticles/Poly(methyl acrylate)
19,4.141515218041112,0.94% silica nanoparticles/Poly(methyl acrylate)
6,0.007178945728814667,0.1% silica nanoparticles/Poly(methyl acrylate)
11,-0.1210086048675171,0.1% silica nanoparticles/Poly(methyl acrylate)
13,-0.13941455238986503,0.1% silica nanoparticles/Poly(methyl acrylate)
19,-0.15572584587228774,0.1% silica nanoparticles/Poly(methyl acrylate)
