Aging Time (h),Shear Viscosity (Pa·s)
8.683885805096327,4.400509430855785,PBT
12.071253982045235,8.519381604577188,PBT
12.467349045484022,3.55733423397117,PBT
13.899307357659973,3.779326459197104,PBT
18.346607846027236,8.954710669160225,PBT
8.683885805096327,4.669459370874449,TPU
12.071253982045235,4.14324187514062,TPU
12.467349045484022,10.215700155308436,TPU
13.899307357659973,2.0359088616804364,TPU
18.346607846027236,19.981022512725367,TPU
8.683885805096327,-6.985469949667384,Polyimide
12.071253982045235,-7.038504347690629,Polyimide
12.467349045484022,-7.037178340686328,Polyimide
13.899307357659973,-7.047871273378397,Polyimide
18.346607846027236,-7.0598411786552635,Polyimide
8.683885805096327,-1.1751653530143606,Poly(vinyl acetate)
12.071253982045235,-2.7663629323639096,Poly(vinyl acetate)
12.467349045484022,2.75639563449789,Poly(vinyl acetate)
13.899307357659973,7.930726870153741,Poly(vinyl acetate)
18.346607846027236,-10.601346497301996,Poly(vinyl acetate)
8.683885805096327,1.4094256801355027,TPU
12.071253982045235,1.4479009049388631,TPU
12.467349045484022,3.7973378718997735,TPU
13.899307357659973,3.1475236151447867,TPU
18.346607846027236,12.371072681038541,TPU
