Ion Beam Dose (Gy),Thermal Diffusivity (mm²/s)
2,-4.052194686972375,PS
7,-2.424265557046378,PS
8,-1.1074522441212546,PS
10,-4.0975171669758454,PS
11,-5.032996872599819,PS
14,-2.815960005819276,PS
2,-3.5231197259972764,PVC
7,-3.706240960880989,PVC
8,-3.720184716914492,PVC
10,-3.754907693031612,PVC
11,-3.7756910179478846,PVC
14,-3.7942722190611455,PVC
2,5.340424912595676,Nylon 66
7,4.951079386101488,Nylon 66
8,4.979700626931058,Nylon 66
10,4.839778198186771,Nylon 66
11,4.827306654055941,Nylon 66
14,4.719334270516108,Nylon 66
2,1.8709975804324954,PA 66
7,2.564993826881267,PA 66
8,3.0234591047865145,PA 66
10,2.763226303211827,PA 66
11,2.2747386137187435,PA 66
14,3.4628794665050684,PA 66
2,3.6962360807606798,EPDM
7,9.405000777225627,EPDM
8,6.260357212816791,EPDM
10,36.35393916096838,EPDM
11,29.93627534393305,EPDM
14,-38.201274846883365,EPDM
