Dielectric Constant,Shear Modulus (GPa)
5,5.639014170934698,0.47% octyldimethylmethoxysilane/PEA
7,6.301520988691557,0.47% octyldimethylmethoxysilane/PEA
10,8.608375981333502,0.47% octyldimethylmethoxysilane/PEA
12.731085695903596,59.95422856248716,0.35% octyldimethylmethoxysilane/PEA
13.336817508420427,51.29298098635695,0.35% octyldimethylmethoxysilane/PEA
13.806343735136537,43.007432703314215,0.35% octyldimethylmethoxysilane/PEA
1,-1.1460108545414163,0.24% octyldimethylmethoxysilane/PEA
3,-1.7925398376281163,0.24% octyldimethylmethoxysilane/PEA
14,29.37260725660461,0.24% octyldimethylmethoxysilane/PEA
2.9657941152895817,-0.3012426312622456,0.7% octyldimethylmethoxysilane/PEA
7.979002533754597,-0.628995907874492,0.7% octyldimethylmethoxysilane/PEA
15.929793068006399,-0.7017938926426085,0.7% octyldimethylmethoxysilane/PEA
1,5.236983505704462,0.46% octyldimethylmethoxysilane/PEA
6,4.884387980739219,0.46% octyldimethylmethoxysilane/PEA
14,4.731467938952882,0.46% octyldimethylmethoxysilane/PEA
