Drying Time (h),Hysteresis Loss (J/m³)
0,-0.9491198381351607,HAF/Nylon 6(3)T
6,-1.2099320798990885,HAF/Nylon 6(3)T
11,-1.4737018935182564,HAF/Nylon 6(3)T
12,-1.5615086015865718,HAF/Nylon 6(3)T
13,-1.5469925576460684,HAF/Nylon 6(3)T
4.493244561236034,-3.31518651474482,Dodecylbenzenesulfonic acid/Nylon 6(3)T
6.14066710845993,-3.6132148905598065,Dodecylbenzenesulfonic acid/Nylon 6(3)T
6.85178044264704,-3.4508408654351994,Dodecylbenzenesulfonic acid/Nylon 6(3)T
8.883738641639336,-2.879155921667894,Dodecylbenzenesulfonic acid/Nylon 6(3)T
18.72411036461148,4.1679761515910645,Dodecylbenzenesulfonic acid/Nylon 6(3)T
4,-4.645043111431294,Colloidal silica/Nylon 6(3)T
10,-4.5822162530823745,Colloidal silica/Nylon 6(3)T
12,-5.596432524446106,Colloidal silica/Nylon 6(3)T
14,-6.454127477626334,Colloidal silica/Nylon 6(3)T
18,-4.183353544282351,Colloidal silica/Nylon 6(3)T
7.06766315990561,-5.408634430916317,calcium carbonate/Nylon 6(3)T
8.672724344846204,-3.374116009208783,calcium carbonate/Nylon 6(3)T
15.123844637782287,-2.783529127316723,calcium carbonate/Nylon 6(3)T
15.676507517290899,-3.84150633910451,calcium carbonate/Nylon 6(3)T
18.7274642795176,13.830320549275825,calcium carbonate/Nylon 6(3)T
