Particle Diameter (nm),Tan Delta
5.804732524204843,-3.4334658010014247,0.13% single-walled CNT/VER
8.680040224995917,-2.117608794015118,0.13% single-walled CNT/VER
9.337881332975774,-3.4048007295908924,0.13% single-walled CNT/VER
10.222257061973064,-2.7810654573627667,0.13% single-walled CNT/VER
15.303929781009014,2.349581020956384,0.13% single-walled CNT/VER
5.804732524204843,-0.7020396531717529,0.22% single-walled CNT/VER
8.680040224995917,-0.8099100565209283,0.22% single-walled CNT/VER
9.337881332975774,-0.8286741467557446,0.22% single-walled CNT/VER
10.222257061973064,-0.847689762584189,0.22% single-walled CNT/VER
15.303929781009014,-0.8839972869199375,0.22% single-walled CNT/VER
5.804732524204843,-1.6216557970303789,0.22% single-walled CNT/VER
8.680040224995917,-1.7991594904807733,0.22% single-walled CNT/VER
9.337881332975774,-1.8670912607506969,0.22% single-walled CNT/VER
10.222257061973064,-1.8319886177341016,0.22% single-walled CNT/VER
15.303929781009014,-2.0037224090877546,0.22% single-walled CNT/VER
5.804732524204843,9.388518915342502,0.87% single-walled CNT/VER
8.680040224995917,13.467638522550416,0.87% single-walled CNT/VER
9.337881332975774,24.7926652116508,0.87% single-walled CNT/VER
10.222257061973064,40.549218122366824,0.87% single-walled CNT/VER
15.303929781009014,174.8777808089276,0.87% single-walled CNT/VER
5.804732524204843,-6.725772898160639,0.04% single-walled CNT/VER
8.680040224995917,-6.838285905178379,0.04% single-walled CNT/VER
9.337881332975774,-6.856102696882262,0.04% single-walled CNT/VER
10.222257061973064,-6.86190454948802,0.04% single-walled CNT/VER
15.303929781009014,-6.903611338394764,0.04% single-walled CNT/VER
