Heat Capacity (J/K),Thermal Resistance (K/W)
2.332676785332417,-6.484642407998329,SWNTs/P4VP
9.286408868633341,-6.605325992352436,SWNTs/P4VP
15.409627242635182,-6.905431825405154,SWNTs/P4VP
18.270638280606377,-0.8355089662786366,SWNTs/P4VP
2.332676785332417,7.490628727928757,Cellulose/P4VP
9.286408868633341,6.558887191282114,Cellulose/P4VP
15.409627242635182,11.91972397761908,Cellulose/P4VP
18.270638280606377,14.8330131732406,Cellulose/P4VP
2.332676785332417,-3.403751059711153,Single-wall carbon nanotubes/P4VP
9.286408868633341,-1.6412147277308353,Single-wall carbon nanotubes/P4VP
15.409627242635182,-4.038956591740018,Single-wall carbon nanotubes/P4VP
18.270638280606377,7.946453903013277,Single-wall carbon nanotubes/P4VP
