Heat Treatment Time (h),Tensile Strength (MPa)
2,-7.274107407964289,0.47% 9-Anthracenemethanol/PRX
4,-7.392569654745769,0.47% 9-Anthracenemethanol/PRX
8,-7.716840544395938,0.47% 9-Anthracenemethanol/PRX
13,-7.766892801004417,0.47% 9-Anthracenemethanol/PRX
14,-7.7707995793190205,0.47% 9-Anthracenemethanol/PRX
2,-0.11563951492437263,0.04% 9-Anthracenemethanol/PRX
4,-0.3747749560159028,0.04% 9-Anthracenemethanol/PRX
8,-0.5756059882801142,0.04% 9-Anthracenemethanol/PRX
13,-0.7885687769141244,0.04% 9-Anthracenemethanol/PRX
14,-0.8139313871890229,0.04% 9-Anthracenemethanol/PRX
