Exposure Time (h),Specific Viscosity
6,6.791496613735647,PPSF
9,6.688359420167201,PPSF
10,6.682312990237785,PPSF
12,6.6504190904453795,PPSF
16,6.632545300824867,PPSF
18,6.6289697468496005,PPSF
6,2.628748983380831,PBA-a
9,0.9776886367425475,PBA-a
10,1.439933932555504,PBA-a
12,4.064160832855331,PBA-a
16,4.179550110097434,PBA-a
18,11.05724206306417,PBA-a
6,-0.794902068635958,PS
9,-0.8911351371439358,PS
10,-0.9116197756016821,PS
12,-0.9258506716336219,PS
16,-0.9462074408603501,PS
18,-0.9497573908364821,PS
6,-1.8432130214854225,SBR
9,-1.9482378216030671,SBR
10,-1.9701005949921357,SBR
12,-1.991474808522167,SBR
16,-2.0067716385627734,SBR
18,-2.010636978978403,SBR
