UV Exposure Time (h),Electric Field Strength (V/m)
3.144489546382947,0.178145574987427,0.93% SAF
6.003144821654693,0.06617006877081677,0.93% SAF
10.323392316998794,-0.16611151162702098,0.93% SAF
11.165806129291823,-0.18219066309784782,0.93% SAF
17.77792682253693,-0.35009898008817286,0.93% SAF
18.282236634210538,-0.36228106683593225,0.93% SAF
3.144489546382947,-7.429760993317025,0.36% SAF
6.003144821654693,-7.608409955881114,0.36% SAF
10.323392316998794,-7.724916941438886,0.36% SAF
11.165806129291823,-7.7355163581231645,0.36% SAF
17.77792682253693,-7.766615515113902,0.36% SAF
18.282236634210538,-7.767644842439645,0.36% SAF
3.144489546382947,4.394179678781253,0.1% SAF
6.003144821654693,4.1448165785960285,0.1% SAF
10.323392316998794,4.0019392673877805,0.1% SAF
11.165806129291823,3.9690399359347177,0.1% SAF
17.77792682253693,3.786667984702094,0.1% SAF
18.282236634210538,3.77942682258065,0.1% SAF
3.144489546382947,-2.196240553492813,0.72% SAF
6.003144821654693,-2.3306097324992883,0.72% SAF
10.323392316998794,-2.5516869267105213,0.72% SAF
11.165806129291823,-2.587376129199061,0.72% SAF
17.77792682253693,-2.7394085678814735,0.72% SAF
18.282236634210538,-2.751537392001448,0.72% SAF
3.144489546382947,2.7545410058514275,0.97% SAF
6.003144821654693,7.292230656263359,0.97% SAF
10.323392316998794,19.949673008659516,0.97% SAF
11.165806129291823,26.438495456164752,0.97% SAF
17.77792682253693,-61.302459612881044,0.97% SAF
18.282236634210538,473.12441171808774,0.97% SAF
