Reaction Temperature (°C),Bulk Modulus (GPa)
12.587023075744721,-21.413417699286345,Silicon dioxide/CAB
13.983640392995746,-61.33931759989579,Silicon dioxide/CAB
18.87819863815244,881.4819847067821,Silicon dioxide/CAB
7.67029073534701,-1.1059814318713457,Mineral oil/CAB
9.477195767832447,0.2898007304057133,Mineral oil/CAB
14.340495099634946,4.84757075826287,Mineral oil/CAB
9.59566098632993,4.31994985412158,single-walled CNTs/CAB
10.362212027365874,5.023830390937185,single-walled CNTs/CAB
12.76166807742288,78.15760012407242,single-walled CNTs/CAB
7.228537536359929,-3.248686442772703,expandable graphite/CAB
18.507912407448575,-0.3360688518007535,expandable graphite/CAB
19.668414950337535,6.375392845259203,expandable graphite/CAB
0,8.149727657523037,Channel black/CAB
8,22.13103901518901,Channel black/CAB
19,-177.69186593678637,Channel black/CAB
