Hardness (HV),Zero-shear Viscosity (Pa·s)
2,-4.252950863862063,Barium titanate/Poly(ethyl acrylate)
4,-4.622092108887675,Barium titanate/Poly(ethyl acrylate)
8,-4.757233894883679,Barium titanate/Poly(ethyl acrylate)
15,-4.836133480675756,Barium titanate/Poly(ethyl acrylate)
16,-4.839102640716956,Barium titanate/Poly(ethyl acrylate)
2,1.3318189716214248,Aluminium dioxide/Poly(ethyl acrylate)
4,1.1212074094476583,Aluminium dioxide/Poly(ethyl acrylate)
8,0.8384554587415506,Aluminium dioxide/Poly(ethyl acrylate)
15,0.759933662423996,Aluminium dioxide/Poly(ethyl acrylate)
16,0.7569956876324544,Aluminium dioxide/Poly(ethyl acrylate)
2,3.7396496675240947,GO/Poly(ethyl acrylate)
4,3.4844281256117102,GO/Poly(ethyl acrylate)
8,3.2555801757979994,GO/Poly(ethyl acrylate)
15,3.16793765421963,GO/Poly(ethyl acrylate)
16,3.1648225882977044,GO/Poly(ethyl acrylate)
