Drying Temperature (°C),Crystallization Temperature (°C)
13.384120102277082,-3.2714366612201884,0.96% TPP/Nylon 6(3)T
15.402988573476815,-3.2802461550956923,0.96% TPP/Nylon 6(3)T
16.232267933997477,-3.281621532329209,0.96% TPP/Nylon 6(3)T
17.952293769860944,-3.284856522563525,0.96% TPP/Nylon 6(3)T
1,-0.5678739743162958,0.91% TPP/Nylon 6(3)T
2,-0.9575531537119327,0.91% TPP/Nylon 6(3)T
8,-1.339650756326772,0.91% TPP/Nylon 6(3)T
10,-1.400163936526568,0.91% TPP/Nylon 6(3)T
1.3369826538969898,5.94297367769462,0.43% TPP/Nylon 6(3)T
5.5402364793778025,5.434960172326955,0.43% TPP/Nylon 6(3)T
7.849873021739715,5.385586396833785,0.43% TPP/Nylon 6(3)T
11.316940436767407,5.308962937874073,0.43% TPP/Nylon 6(3)T
