Ion Beam Dose (Gy),Tg (°C)
3.987161474223997,-0.21929785285778564,PBuA
12.74212973025129,-0.4433361236808027,PBuA
13.417807040885547,-0.45089524930013936,PBuA
18.00400491916196,-0.4636056669124003,PBuA
3,5.227281972020153,Poly(vinylidene fluoride)
7,4.985936909978201,Poly(vinylidene fluoride)
10,4.898558648251913,Poly(vinylidene fluoride)
18,4.850358555893945,Poly(vinylidene fluoride)
3,0.97417128605989,UPR
5,0.6349180679414475,UPR
7,0.6670253284069958,UPR
18,0.27974408803866335,UPR
