Pore Size (nm),Bet Surface Area
0.7846830190118537,0.4672042966223464,0.79% Mineral oil/Poly(ethylene terephthalate)
3.9914407391098328,0.5435311762302107,0.79% Mineral oil/Poly(ethylene terephthalate)
7.381443034940203,1.1618897973109767,0.79% Mineral oil/Poly(ethylene terephthalate)
19.778936296764208,14.424927676097731,0.79% Mineral oil/Poly(ethylene terephthalate)
0.7846830190118537,6.641259707687338,0.36% Mineral oil/Poly(ethylene terephthalate)
3.9914407391098328,6.504019763320439,0.36% Mineral oil/Poly(ethylene terephthalate)
7.381443034940203,6.148237047590886,0.36% Mineral oil/Poly(ethylene terephthalate)
19.778936296764208,5.813331607832562,0.36% Mineral oil/Poly(ethylene terephthalate)
0.7846830190118537,0.47080761406147964,0.19% Mineral oil/Poly(ethylene terephthalate)
3.9914407391098328,-0.0018436888719304267,0.19% Mineral oil/Poly(ethylene terephthalate)
7.381443034940203,-0.26401319524939637,0.19% Mineral oil/Poly(ethylene terephthalate)
19.778936296764208,-0.35272527902927164,0.19% Mineral oil/Poly(ethylene terephthalate)
0.7846830190118537,-2.942264589688592,0.92% Mineral oil/Poly(ethylene terephthalate)
3.9914407391098328,-3.4227952679337625,0.92% Mineral oil/Poly(ethylene terephthalate)
7.381443034940203,-3.5359708920507473,0.92% Mineral oil/Poly(ethylene terephthalate)
19.778936296764208,-3.645273981483143,0.92% Mineral oil/Poly(ethylene terephthalate)
