Shear Rate (1/s),Bulk Modulus (GPa)
0,5.0150475374933166,triglycidyl para-aminophenol
7,5.79744188495615,triglycidyl para-aminophenol
8,5.153119999694319,triglycidyl para-aminophenol
11,7.755660346527399,triglycidyl para-aminophenol
14,9.863277137617601,triglycidyl para-aminophenol
16,4.986106116805039,triglycidyl para-aminophenol
0,-4.27195221207433,PA 8
7,-5.466971108951779,PA 8
8,-5.510123132694748,PA 8
11,-5.5591718185251695,PA 8
14,-5.578082839444688,PA 8
16,-5.585007853821145,PA 8
