pH,Galvanic Potential (V)
0,-6.151279945905311,Graphite oxide/EVA
8,-7.059905753477743,Graphite oxide/EVA
11,-7.098406747103926,Graphite oxide/EVA
12,-7.111680378715651,Graphite oxide/EVA
14,-7.122062297191084,Graphite oxide/EVA
17,-7.130851017115187,Graphite oxide/EVA
0.7644157698340037,-3.984826948875333,Lead(II) sulfide/EVA
5.3214447914031275,0.5847505969026887,Lead(II) sulfide/EVA
16.753701958265857,-89.82974060162125,Lead(II) sulfide/EVA
16.86108211665037,221.47551099032466,Lead(II) sulfide/EVA
18.1980422798697,209.07682223738388,Lead(II) sulfide/EVA
19.650468629327776,527.8075201998988,Lead(II) sulfide/EVA
2.841025376819586,9.480153719317858,single-walled CNT/EVA
7.128960503343702,18.232309210054456,single-walled CNT/EVA
7.401572828542551,16.851471046350518,single-walled CNT/EVA
14.666438636079135,253.68407323018496,single-walled CNT/EVA
19.206998234578023,51.38237171426706,single-walled CNT/EVA
19.468703046919217,-617.7694808150878,single-walled CNT/EVA
