Storage Time (days),Electric Field Strength (V/m)
1.3097878663255136,-0.22712227301169619,0.05% Multi-wall carbon nanotubes
3.9740494259672476,-0.9934339778498141,0.05% Multi-wall carbon nanotubes
10.81111568672319,0.4285066196419929,0.05% Multi-wall carbon nanotubes
1.3097878663255136,-4.203247774360805,0.96% Multi-wall carbon nanotubes
3.9740494259672476,-2.5428804580053024,0.96% Multi-wall carbon nanotubes
10.81111568672319,48.188282581525215,0.96% Multi-wall carbon nanotubes
1.3097878663255136,-5.61637933605737,0.66% Multi-wall carbon nanotubes
3.9740494259672476,-3.846493043892345,0.66% Multi-wall carbon nanotubes
10.81111568672319,36.88925508236594,0.66% Multi-wall carbon nanotubes
1.3097878663255136,-2.908774650116404,0.78% Multi-wall carbon nanotubes
3.9740494259672476,-3.1616243738076495,0.78% Multi-wall carbon nanotubes
10.81111568672319,-3.4074815311915376,0.78% Multi-wall carbon nanotubes
1.3097878663255136,0.29065357379395995,0.04% Multi-wall carbon nanotubes
3.9740494259672476,-0.12278714557417691,0.04% Multi-wall carbon nanotubes
10.81111568672319,-0.30616486229170586,0.04% Multi-wall carbon nanotubes
