Aging Time (h),Galvanic Potential (V)
0.9956251646525338,5.774203093461647,0.55% Colloidal silica/PA 66
1.714449983787072,5.901895408954972,0.55% Colloidal silica/PA 66
8.819343857642043,5.219076355539793,0.55% Colloidal silica/PA 66
12.52609830596213,5.167417570948617,0.55% Colloidal silica/PA 66
16.923197512974358,5.151283779009057,0.55% Colloidal silica/PA 66
0.9956251646525338,-6.122081926511304,0.59% Colloidal silica/PA 66
1.714449983787072,-6.37892623369437,0.59% Colloidal silica/PA 66
8.819343857642043,-6.911489336248962,0.59% Colloidal silica/PA 66
12.52609830596213,-6.955609088051832,0.59% Colloidal silica/PA 66
16.923197512974358,-6.973835948221967,0.59% Colloidal silica/PA 66
0.9956251646525338,0.7171814563610693,0.0% Colloidal silica/PA 66
1.714449983787072,0.4641597824194196,0.0% Colloidal silica/PA 66
8.819343857642043,0.15975853209579172,0.0% Colloidal silica/PA 66
12.52609830596213,0.08252773213782,0.0% Colloidal silica/PA 66
16.923197512974358,-0.03488392720630987,0.0% Colloidal silica/PA 66
