Particle Size (nm),Thermal Diffusivity (mm²/s)
1.6533345877935446,0.6324292810889145,
15.840214717836997,7.226221686982342,
16.13392229925944,2.0086075991384456,
18.14149359435493,9.607717431280829,
18.676478265822766,-2.822718594196803,
1.6533345877935446,-3.697393909237925,
15.840214717836997,-1.4866182234815373,
16.13392229925944,3.690637847006137,
18.14149359435493,-5.308841526615933,
18.676478265822766,7.874839251634722,
1.6533345877935446,1.9857540207312716,
15.840214717836997,1.2756386165942002,
16.13392229925944,1.274583406401303,
18.14149359435493,1.2708982652404424,
18.676478265822766,1.2704007368414187,
1.6533345877935446,3.389945955194737,
15.840214717836997,2.9113576897462776,
16.13392229925944,2.912082260785788,
18.14149359435493,2.8679269162476397,
18.676478265822766,2.865406011859686,
1.6533345877935446,-1.9149702243458289,
15.840214717836997,226.44476127909,
16.13392229925944,379.57201144850706,
18.14149359435493,333.78689602374334,
18.676478265822766,-72.84302792467373,
