Polymer Molecular Weight (g/mol),Coercivity (A/m)
0.23680547842412025,8.653074130963624,Magnesium oxide/PBI
4.797741125313085,8.875841985949695,Magnesium oxide/PBI
8.369178563293193,10.191511513969107,Magnesium oxide/PBI
19.21499853686803,16.857224563193064,Magnesium oxide/PBI
0.23680547842412025,1.3317120945099616,Multi-wall carbon nanotubes/PBI
4.797741125313085,1.6536326616275954,Multi-wall carbon nanotubes/PBI
8.369178563293193,3.141229003610583,Multi-wall carbon nanotubes/PBI
19.21499853686803,19.50147115068001,Multi-wall carbon nanotubes/PBI
0.23680547842412025,-3.890170525055277,PVA/PBI
4.797741125313085,-2.7841352164876976,PVA/PBI
8.369178563293193,-2.051230726400518,PVA/PBI
19.21499853686803,6.82963591443424,PVA/PBI
0.23680547842412025,-0.7882194817865626,Fullerene/PBI
4.797741125313085,-1.540167542441135,Fullerene/PBI
8.369178563293193,-1.671874707612098,Fullerene/PBI
19.21499853686803,-1.760032071344493,Fullerene/PBI
0.23680547842412025,2.8534575496180867,Silver/PBI
4.797741125313085,2.324969214243204,Silver/PBI
8.369178563293193,2.1681898269313016,Silver/PBI
19.21499853686803,2.083884446248063,Silver/PBI
