Young’s Modulus (GPa),Reduction Potential (V)
12.935198827457093,-1.9157293536409616,OAP-POSS/Poly(ethylene)
16.741941540530828,-2.210179341606188,OAP-POSS/Poly(ethylene)
17.011076795715393,-6.4488055990612025,OAP-POSS/Poly(ethylene)
17.367605290333106,-7.683565186993966,OAP-POSS/Poly(ethylene)
12.935198827457093,-2.4743838050228195,zinc oxide/Poly(ethylene)
16.741941540530828,10.030620048145183,zinc oxide/Poly(ethylene)
17.011076795715393,6.1563585002117005,zinc oxide/Poly(ethylene)
17.367605290333106,6.8509357379200875,zinc oxide/Poly(ethylene)
12.935198827457093,69.87440144316578,Molybdenum Disulphide/Poly(ethylene)
16.741941540530828,159.6742191196891,Molybdenum Disulphide/Poly(ethylene)
17.011076795715393,247.69956416959852,Molybdenum Disulphide/Poly(ethylene)
17.367605290333106,400.0048617224055,Molybdenum Disulphide/Poly(ethylene)
12.935198827457093,-3.4095821095419687,MWNTs/Poly(ethylene)
16.741941540530828,-3.917529325374896,MWNTs/Poly(ethylene)
17.011076795715393,6.304462231055817,MWNTs/Poly(ethylene)
17.367605290333106,15.37793184645393,MWNTs/Poly(ethylene)
12.935198827457093,5.582206821730325,Fullerene/Poly(ethylene)
16.741941540530828,2.580809297649517,Fullerene/Poly(ethylene)
17.011076795715393,-0.5124106487461493,Fullerene/Poly(ethylene)
17.367605290333106,14.731723524655148,Fullerene/Poly(ethylene)
