Holding Time (min),Loss Factor
0.2089079492493684,4.650323723173124,Bentonite clay/PEKK
3.5772140858907764,7.690267855028952,Bentonite clay/PEKK
16.307715140368984,149.45043409944938,Bentonite clay/PEKK
17.907365926931355,334.1570700426095,Bentonite clay/PEKK
18.58932538974663,287.8773068661126,Bentonite clay/PEKK
19.52798613873204,1232.6689069168015,Bentonite clay/PEKK
0.2089079492493684,-4.953180485764475,Fe3O4/PEKK
3.5772140858907764,-5.4376876780317875,Fe3O4/PEKK
16.307715140368984,-5.701159521046533,Fe3O4/PEKK
17.907365926931355,-5.7035399320319735,Fe3O4/PEKK
18.58932538974663,-5.704643254812185,Fe3O4/PEKK
19.52798613873204,-5.705443781462949,Fe3O4/PEKK
0.2089079492493684,7.265716434562289,Ag/PEKK
3.5772140858907764,6.793935987586442,Ag/PEKK
16.307715140368984,6.247742334971829,Ag/PEKK
17.907365926931355,6.231309603033088,Ag/PEKK
18.58932538974663,6.222506480803823,Ag/PEKK
19.52798613873204,6.211809370280615,Ag/PEKK
0.2089079492493684,8.684970051795986,Paraffin oil/PEKK
3.5772140858907764,8.298110749554413,Paraffin oil/PEKK
16.307715140368984,7.828934976849283,Paraffin oil/PEKK
17.907365926931355,7.810941450156012,Paraffin oil/PEKK
18.58932538974663,7.791915939503407,Paraffin oil/PEKK
19.52798613873204,7.788875217004144,Paraffin oil/PEKK
0.2089079492493684,0.7149020461693587,Paraffinum liquidum/PEKK
3.5772140858907764,4.172506698890181,Paraffinum liquidum/PEKK
16.307715140368984,70.73383679952062,Paraffinum liquidum/PEKK
17.907365926931355,99.02048209581406,Paraffinum liquidum/PEKK
18.58932538974663,-456.8728071866742,Paraffinum liquidum/PEKK
19.52798613873204,38.68459716166342,Paraffinum liquidum/PEKK
