Annealing Temperature (°C),Particle Size (nm)
0.09771268050363435,4.658467269035259,Carbon black/Poly(styrene-co-acrylonitrile)
1.5227441160707111,4.623699753718077,Carbon black/Poly(styrene-co-acrylonitrile)
5.309026990651658,4.208117817088812,Carbon black/Poly(styrene-co-acrylonitrile)
14.470508021666756,3.836029644074008,Carbon black/Poly(styrene-co-acrylonitrile)
16.83467012106297,3.784505502531592,Carbon black/Poly(styrene-co-acrylonitrile)
0.09771268050363435,9.4704907593905,aluminum/Poly(styrene-co-acrylonitrile)
1.5227441160707111,9.43793791672448,aluminum/Poly(styrene-co-acrylonitrile)
5.309026990651658,10.443823405709662,aluminum/Poly(styrene-co-acrylonitrile)
14.470508021666756,12.445122324153992,aluminum/Poly(styrene-co-acrylonitrile)
16.83467012106297,7.736567275346358,aluminum/Poly(styrene-co-acrylonitrile)
0.09771268050363435,9.020952375839894,Zinc Oxide/Poly(styrene-co-acrylonitrile)
1.5227441160707111,8.439726947098519,Zinc Oxide/Poly(styrene-co-acrylonitrile)
5.309026990651658,8.068578702354062,Zinc Oxide/Poly(styrene-co-acrylonitrile)
14.470508021666756,7.893723876247069,Zinc Oxide/Poly(styrene-co-acrylonitrile)
16.83467012106297,7.886621404533151,Zinc Oxide/Poly(styrene-co-acrylonitrile)
0.09771268050363435,8.312767562100305,SAF/Poly(styrene-co-acrylonitrile)
1.5227441160707111,8.441291898829341,SAF/Poly(styrene-co-acrylonitrile)
5.309026990651658,9.051071610255532,SAF/Poly(styrene-co-acrylonitrile)
14.470508021666756,18.110196833799268,SAF/Poly(styrene-co-acrylonitrile)
16.83467012106297,8.013288921097052,SAF/Poly(styrene-co-acrylonitrile)
