Storage Time (days),Heat Capacity (J/K)
1.906942992636369,2.992881642284759,TPU
3.24628004084885,2.8708957514888698,TPU
4.53912571431899,2.7751135015769863,TPU
8.363531528124268,2.59373769899378,TPU
12.859671392076821,2.5298559403439884,TPU
19.40171680250994,2.5114864931333436,TPU
1.906942992636369,3.953844584657948,PETP
3.24628004084885,3.5528802636747825,PETP
4.53912571431899,3.497514947480788,PETP
8.363531528124268,3.3252044934130365,PETP
12.859671392076821,3.2590499777524973,PETP
19.40171680250994,3.240403504650734,PETP
1.906942992636369,7.6807038862246975,PA 6(3)T
3.24628004084885,6.696667134374725,PA 6(3)T
4.53912571431899,9.22077785673817,PA 6(3)T
8.363531528124268,23.206068803880278,PA 6(3)T
12.859671392076821,66.68911122688039,PA 6(3)T
19.40171680250994,895.4396154726014,PA 6(3)T
