Tensile Strength (MPa),Magnetic Susceptibility
14.321642590413614,4.972216096025272,PMMA-PnBA
16.390372546098593,13.532148820717309,PMMA-PnBA
16.9972553235647,14.449825893624517,PMMA-PnBA
14.321642590413614,-3.274445902900423,PVC-P
16.390372546098593,10.00803012796572,PVC-P
16.9972553235647,6.133432141792152,PVC-P
14.321642590413614,104.76831446514116,UPR
16.390372546098593,112.31392197843894,UPR
16.9972553235647,402.8228380624418,UPR
14.321642590413614,9.868486706681509,PA 11
16.390372546098593,11.723479472553377,PA 11
16.9972553235647,8.822649777868534,PA 11
