Frequency (Hz),Oxidation Potential (V)
0,3.095714570830239,Copper phenylphosphate/PR
1,3.8967919838050378,Copper phenylphosphate/PR
2,4.922773718863984,Copper phenylphosphate/PR
15,300.60294607667475,Copper phenylphosphate/PR
3.8639256750634154,-1.1806704557619265,SiO2/PR
6.076092646701232,-1.3306894516017622,SiO2/PR
9.563171359741853,-1.4171387989657906,SiO2/PR
17.35460699972846,-1.4732546040138983,SiO2/PR
2.8940830908997084,5.857061920836668,Lamp black/PR
14.915100311849594,5.241737107000547,Lamp black/PR
19.066297261688646,5.181150700694407,Lamp black/PR
19.378682927446768,5.166073760273832,Lamp black/PR
