Heat Capacity (J/K),Conductivity (S/m)
0,2.347420991204614,MWNT/PnBA
11,5.4863756057380755,MWNT/PnBA
12,4.8908163120871055,MWNT/PnBA
17,2.7525502327870943,MWNT/PnBA
19,-12.661587503500762,MWNT/PnBA
0,-5.882902124506055,Copper phenylphosphate/PnBA
11,-6.9584989960669485,Copper phenylphosphate/PnBA
12,-6.971214020474044,Copper phenylphosphate/PnBA
17,-6.991874294099147,Copper phenylphosphate/PnBA
19,-6.994384997845902,Copper phenylphosphate/PnBA
0,0.19643503509154225,graphite oxide/PnBA
11,-0.7937906015610385,graphite oxide/PnBA
12,-0.8033838263098848,graphite oxide/PnBA
17,-0.8263766866417901,graphite oxide/PnBA
19,-0.8294684707243213,graphite oxide/PnBA
0,8.88301306509697,exfoliated graphene/PnBA
11,9.776356047620627,exfoliated graphene/PnBA
12,8.253140025266841,exfoliated graphene/PnBA
17,9.984036417096048,exfoliated graphene/PnBA
19,30.549084415112894,exfoliated graphene/PnBA
