Electron Beam Dose (Gy),Pore Size (nm)
2.940319632496571,-3.3058390039087255,0.33% SWCNTs
9.082390618339813,-2.4281553046427096,0.33% SWCNTs
16.72271897534656,6.066066377147212,0.33% SWCNTs
18.60009441494386,5.34736979620973,0.33% SWCNTs
2.940319632496571,7.729102751224067,0.28% SWCNTs
9.082390618339813,7.269605037418764,0.28% SWCNTs
16.72271897534656,7.1163116948138425,0.28% SWCNTs
18.60009441494386,7.084507986565907,0.28% SWCNTs
2.940319632496571,0.9756582187015799,0.37% SWCNTs
9.082390618339813,0.7014536982585804,0.37% SWCNTs
16.72271897534656,0.6371646989496275,0.37% SWCNTs
18.60009441494386,0.6344861138436739,0.37% SWCNTs
2.940319632496571,1.972446258207442,0.73% SWCNTs
9.082390618339813,20.15102935670035,0.73% SWCNTs
16.72271897534656,65.89975234259465,0.73% SWCNTs
18.60009441494386,641.1828768394437,0.73% SWCNTs
