Curing Temperature (°C),Viscosity (Pa·s)
1,0.8596791376928284,0.18% Silicon carbide/PVOH
15,0.017320933028175278,0.18% Silicon carbide/PVOH
16,0.013700720983096694,0.18% Silicon carbide/PVOH
1,0.6771339577744936,0.23% Silicon carbide/PVOH
15,0.05717249441242414,0.23% Silicon carbide/PVOH
16,0.03540325692938712,0.23% Silicon carbide/PVOH
1,-1.799775124612768,0.7% Silicon carbide/PVOH
15,-2.4085516269326512,0.7% Silicon carbide/PVOH
16,-2.435364758390424,0.7% Silicon carbide/PVOH
1,-2.196483565778389,0.2% Silicon carbide/PVOH
15,-2.6476913391951693,0.2% Silicon carbide/PVOH
16,-2.650373316880876,0.2% Silicon carbide/PVOH
1,5.253816923498388,0.14% Silicon carbide/PVOH
15,4.767212991185145,0.14% Silicon carbide/PVOH
16,4.763647943235642,0.14% Silicon carbide/PVOH
