wt%,Electrical Resistivity (Ω·m)
2.0401864550023596,4.618633545401091,Nylon 66
4.905303591763454,5.883807858147113,Nylon 66
15.102967775709917,11.3760222119132,Nylon 66
2.0401864550023596,-4.640918593932987,Polyrotaxane
4.905303591763454,-3.738164876032357,Polyrotaxane
15.102967775709917,-2.23280661834707,Polyrotaxane
2.0401864550023596,4.108879245251492,Nylon 11
4.905303591763454,3.941134269278089,Nylon 11
15.102967775709917,3.6716121206640193,Nylon 11
2.0401864550023596,-5.20511925570291,E-SBR
4.905303591763454,-5.315421938150145,E-SBR
15.102967775709917,-5.820105531904524,E-SBR
2.0401864550023596,2.5961145222970745,PVP
4.905303591763454,3.1363142106791546,PVP
15.102967775709917,9.621168055124835,PVP
