Strain,Electric Field Strength (V/m)
2,-0.9893953314921815,0.91% carbon nanotube/PA 8
4,-0.9856858285673136,0.91% carbon nanotube/PA 8
6,2.1928398908239455,0.91% carbon nanotube/PA 8
16,248.86661163171675,0.91% carbon nanotube/PA 8
19,146.5043060857545,0.91% carbon nanotube/PA 8
2,5.373237569870527,0.68% carbon nanotube/PA 8
4,5.222833376256592,0.68% carbon nanotube/PA 8
6,4.898288560757775,0.68% carbon nanotube/PA 8
16,4.625277439157777,0.68% carbon nanotube/PA 8
19,4.583665712035576,0.68% carbon nanotube/PA 8
2,8.095134807068218,0.53% carbon nanotube/PA 8
4,8.12934067490726,0.53% carbon nanotube/PA 8
6,8.054614819495258,0.53% carbon nanotube/PA 8
16,7.651429913174794,0.53% carbon nanotube/PA 8
19,7.594801144378669,0.53% carbon nanotube/PA 8
