Electric Field (V/m),Magnetoresistance
3.242738014842448,6.744335131584731,
7.427724582324579,6.400266986300096,
14.353955663471819,6.30451659691593,
0,3.7274516090932943,
5,3.12099673963262,
11,2.7830116244793137,
2.6428645322903654,5.367184380149782,
6.575028203564215,5.073824537351273,
16.040104276369153,4.722534853303329,
4.6072296415063345,-2.2598834772323926,
7.883460758824095,8.320999331775424,
8.768276195823814,1.7435635428649867,
4.1430506885715745,-5.866900959381683,
4.337522835043899,-6.006407482603967,
6.911108883376231,-6.19241102152105,
