Young’s Modulus (GPa),Decomposition Temperature (°C)
3,3.6653819601060365,ZnO/DGEBD Epoxy Resin
4,3.7132100788125477,ZnO/DGEBD Epoxy Resin
7,3.463490741328724,ZnO/DGEBD Epoxy Resin
10,3.439378697282926,ZnO/DGEBD Epoxy Resin
12,3.382338835599955,ZnO/DGEBD Epoxy Resin
13,3.347948885769274,ZnO/DGEBD Epoxy Resin
3,-0.35478487302228534,cellulose nanocrystal/DGEBD Epoxy Resin
4,-0.27118745162476643,cellulose nanocrystal/DGEBD Epoxy Resin
7,-0.3699413660762546,cellulose nanocrystal/DGEBD Epoxy Resin
10,-0.533225991424414,cellulose nanocrystal/DGEBD Epoxy Resin
12,-0.5832260828390132,cellulose nanocrystal/DGEBD Epoxy Resin
13,-0.6279703299212895,cellulose nanocrystal/DGEBD Epoxy Resin
3,6.533348055070579,Carbon black/DGEBD Epoxy Resin
4,6.464156901798902,Carbon black/DGEBD Epoxy Resin
7,6.210705356393772,Carbon black/DGEBD Epoxy Resin
10,6.179876114622968,Carbon black/DGEBD Epoxy Resin
12,6.069731324391968,Carbon black/DGEBD Epoxy Resin
13,6.066258505951396,Carbon black/DGEBD Epoxy Resin
