Holding Time (min),Degradation Temperature (°C)
0,4.220923917029359,
4,3.596766130151741,
5,3.473328375930371,
16,3.2462833335214385,
0,6.618838651181301,
4,8.91197396041505,
5,9.528269230982708,
16,87.64947898411283,
0,3.1098127699155955,
4,2.341375126305675,
5,2.209665261851184,
16,2.0270545630033867,
0,3.6286028061952043,
4,3.7380962945042975,
5,3.637906890611047,
16,6.583273521434973,
0,2.8546814854394182,
4,2.598271569518574,
5,2.4374202598996284,
16,2.1207238453000765,
