Incubation Temperature (°C),Fatigue Strength (MPa)
3.11970292885827,-3.4894238237818627,0.56% MoS2/PVB
11.104328322168822,28.33652951160724,0.56% MoS2/PVB
11.592123226194865,31.859795294240072,0.56% MoS2/PVB
12.352096246803612,64.29531246077264,0.56% MoS2/PVB
16.643666205872115,263.84183553382235,0.56% MoS2/PVB
18.866231414043952,294.1591739585254,0.56% MoS2/PVB
3.11970292885827,-0.9920463059636719,0.42% MoS2/PVB
11.104328322168822,29.694158685091367,0.42% MoS2/PVB
11.592123226194865,38.188703069785255,0.42% MoS2/PVB
12.352096246803612,90.61282558129021,0.42% MoS2/PVB
16.643666205872115,162.56295526928358,0.42% MoS2/PVB
18.866231414043952,-65.88810783602936,0.42% MoS2/PVB
3.11970292885827,8.217870549762807,0.68% MoS2/PVB
11.104328322168822,7.864323098641805,0.68% MoS2/PVB
11.592123226194865,7.858704266914445,0.68% MoS2/PVB
12.352096246803612,7.848974305466121,0.68% MoS2/PVB
16.643666205872115,7.832635227386786,0.68% MoS2/PVB
18.866231414043952,7.829343750259235,0.68% MoS2/PVB
