Thermal Conductivity (W/(m·K)),Heat Capacity (J/K)
0,-1.649745096795471,Poly(2-hydroxyethyl methacrylate)
1,-1.6174421551249187,Poly(2-hydroxyethyl methacrylate)
10,-2.2946418478732395,Poly(2-hydroxyethyl methacrylate)
14,-2.3356945990998517,Poly(2-hydroxyethyl methacrylate)
17,-2.3447660284304277,Poly(2-hydroxyethyl methacrylate)
0,-2.2740429317697073,PVP
1,-2.4417366012569715,PVP
10,-2.9879867843368624,PVP
14,-3.126967767661563,PVP
17,-3.1737009760614114,PVP
0,8.764112139856861,PMMA-PnBA
1,8.110171315810222,PMMA-PnBA
10,10.369289052975818,PMMA-PnBA
14,6.336520331358662,PMMA-PnBA
17,6.827049954821631,PMMA-PnBA
0,3.7016228242730067,TPU
1,3.591330004594339,TPU
10,7.826148562001995,TPU
14,5.126000553030472,TPU
17,13.790748783739158,TPU
0,-5.028962829099106,PVAC
1,-4.989719988103921,PVAC
10,-5.554775953898658,PVAC
14,-5.671681012002497,PVAC
17,-5.752001849408309,PVAC
