Pressure (Pa),Conductivity (S/m)
1.47363048834535,8.578593433607171,0.69% silver hexafluoroantimonate
2.2091614889226263,9.658015714345034,0.69% silver hexafluoroantimonate
6.079674731891583,15.142667290149598,0.69% silver hexafluoroantimonate
11.011330969450174,16.521378009293596,0.69% silver hexafluoroantimonate
16.459268112538926,318.46122049738005,0.69% silver hexafluoroantimonate
1.47363048834535,-6.359383283119849,0.14% silver hexafluoroantimonate
2.2091614889226263,-6.661836842792264,0.14% silver hexafluoroantimonate
6.079674731891583,-6.770391378405948,0.14% silver hexafluoroantimonate
11.011330969450174,-7.05487815082116,0.14% silver hexafluoroantimonate
16.459268112538926,-7.182192617500456,0.14% silver hexafluoroantimonate
1.47363048834535,6.842670598182998,0.48% silver hexafluoroantimonate
2.2091614889226263,6.620323345055774,0.48% silver hexafluoroantimonate
6.079674731891583,6.326977887765539,0.48% silver hexafluoroantimonate
11.011330969450174,6.058997283906908,0.48% silver hexafluoroantimonate
16.459268112538926,5.962511783490528,0.48% silver hexafluoroantimonate
1.47363048834535,-4.657725934298359,0.21% silver hexafluoroantimonate
2.2091614889226263,-3.9825428287812716,0.21% silver hexafluoroantimonate
6.079674731891583,-3.118411384547025,0.21% silver hexafluoroantimonate
11.011330969450174,46.37283539184612,0.21% silver hexafluoroantimonate
16.459268112538926,166.88339461195523,0.21% silver hexafluoroantimonate
1.47363048834535,7.895205842033127,0.85% silver hexafluoroantimonate
2.2091614889226263,7.990665767424383,0.85% silver hexafluoroantimonate
6.079674731891583,7.363891990072418,0.85% silver hexafluoroantimonate
11.011330969450174,7.235100090163177,0.85% silver hexafluoroantimonate
16.459268112538926,7.204237482736623,0.85% silver hexafluoroantimonate
