Nanoparticle Mass (%),Peel Strength (N/m)
5,2.755057753501312,Silica/Poly(vinyl acetate)
13,4.958461409592498,Silica/Poly(vinyl acetate)
15,0.03380353115891932,Silica/Poly(vinyl acetate)
16,6.245181036633715,Silica/Poly(vinyl acetate)
17,14.288427247784425,Silica/Poly(vinyl acetate)
5,-5.127549303700336,silica/Poly(vinyl acetate)
13,-5.471578628481615,silica/Poly(vinyl acetate)
15,-5.4707669122311735,silica/Poly(vinyl acetate)
16,-5.504947740839642,silica/Poly(vinyl acetate)
17,-5.515323733917463,silica/Poly(vinyl acetate)
5,4.024515922433074,Silicon dioxide/Poly(vinyl acetate)
13,3.828657036781649,Silicon dioxide/Poly(vinyl acetate)
15,3.818403451308732,Silicon dioxide/Poly(vinyl acetate)
16,3.8155213278608153,Silicon dioxide/Poly(vinyl acetate)
17,3.81356494356164,Silicon dioxide/Poly(vinyl acetate)
