Heat Treatment Temperature (°C),Coercivity (A/m)
0,7.744649483594016,Molybdenum Disulfide/PLA
8,11.780036979728255,Molybdenum Disulfide/PLA
9,17.006758185201065,Molybdenum Disulfide/PLA
10,35.82906657756534,Molybdenum Disulfide/PLA
14,127.44040182481797,Molybdenum Disulfide/PLA
19,74.37209479740372,Molybdenum Disulfide/PLA
0,-6.022618502473527,Buckminsterfullerene/PLA
8,-4.548817475966505,Buckminsterfullerene/PLA
9,-3.284865030838067,Buckminsterfullerene/PLA
10,-3.860268296447946,Buckminsterfullerene/PLA
14,-4.306346807734089,Buckminsterfullerene/PLA
19,-2.0810679645979526,Buckminsterfullerene/PLA
0,2.1655805038068845,polyaniline/PLA
8,1.8274499850121053,polyaniline/PLA
9,1.7131478749394191,polyaniline/PLA
10,1.7510527431896157,polyaniline/PLA
14,1.6255474137092216,polyaniline/PLA
19,1.5287882267414385,polyaniline/PLA
0,-1.8314476958367838,MWCNT/PLA
8,-2.9777647427495606,MWCNT/PLA
9,-3.009922462226583,MWCNT/PLA
10,-3.018951954394331,MWCNT/PLA
14,-3.0562585382315897,MWCNT/PLA
19,-3.0689140961803263,MWCNT/PLA
