Hardness (HV),Surface Area (m²/g)
4.326725649446281,-1.1165585914753606,Synthetic fluorine mica/ABS
7.829954393471015,1.0390261394345668,Synthetic fluorine mica/ABS
10.053484829823079,28.237850874607012,Synthetic fluorine mica/ABS
17.723417568392627,276.3410026609315,Synthetic fluorine mica/ABS
4.326725649446281,0.11985625950502643,Fe2O3/ABS
7.829954393471015,-0.08248912811680584,Fe2O3/ABS
10.053484829823079,-0.14464828647893782,Fe2O3/ABS
17.723417568392627,-0.18699245261138675,Fe2O3/ABS
4.326725649446281,7.1847764723541685,fumed silica/ABS
7.829954393471015,6.9745172834461036,fumed silica/ABS
10.053484829823079,6.910155321382448,fumed silica/ABS
17.723417568392627,6.870072880922845,fumed silica/ABS
