Heat Treatment Temperature (°C),Bulk Modulus (GPa)
0.7354445943795063,2.0277734963345893,PAA
1.9421322370075766,1.9934636895904037,PAA
14.827514930444641,1.4083593588848031,PAA
18.510511886248732,1.3309247938453839,PAA
19.67501952309582,1.318779708060211,PAA
0.7354445943795063,6.079284380260264,PEMA
1.9421322370075766,6.854900991863779,PEMA
14.827514930444641,192.8169805021259,PEMA
18.510511886248732,105.78155711172167,PEMA
19.67501952309582,-394.36472849208644,PEMA
0.7354445943795063,3.9607967037395304,Fluoroelastomer
1.9421322370075766,4.351807305013086,Fluoroelastomer
14.827514930444641,-13.791138727155278,Fluoroelastomer
18.510511886248732,382.91580586638975,Fluoroelastomer
19.67501952309582,1431.950037117674,Fluoroelastomer
