Pore Size (nm),Electrochemical Potential (V)
8,14.57696137279349,0.2% Paraffinum liquidum/CNBR
9,17.79764478739738,0.2% Paraffinum liquidum/CNBR
11,27.26916626257428,0.2% Paraffinum liquidum/CNBR
15,178.26903389476595,0.2% Paraffinum liquidum/CNBR
19,1400.4117370544523,0.2% Paraffinum liquidum/CNBR
10,-6.842164627083399,0.84% Paraffinum liquidum/CNBR
11,-6.880816565498138,0.84% Paraffinum liquidum/CNBR
13,-6.954790302505214,0.84% Paraffinum liquidum/CNBR
14,-6.986624278293704,0.84% Paraffinum liquidum/CNBR
19,-7.057269671060792,0.84% Paraffinum liquidum/CNBR
4,-5.4520557315184295,0.57% Paraffinum liquidum/CNBR
7,-4.873040832490029,0.57% Paraffinum liquidum/CNBR
8,-3.101437453989978,0.57% Paraffinum liquidum/CNBR
14,-3.1438038220839317,0.57% Paraffinum liquidum/CNBR
16,-1.6145513344809546,0.57% Paraffinum liquidum/CNBR
9.634497135318586,28.29674656819936,0.27% Paraffinum liquidum/CNBR
11.053747697881898,43.41918114677632,0.27% Paraffinum liquidum/CNBR
13.99541896477595,-42.98033684311195,0.27% Paraffinum liquidum/CNBR
14.850531158327268,83.18246654761215,0.27% Paraffinum liquidum/CNBR
14.925494240487785,140.91051986979485,0.27% Paraffinum liquidum/CNBR
3.5159080811219368,8.11711752342186,0.58% Paraffinum liquidum/CNBR
4.95110543878064,8.054633006609638,0.58% Paraffinum liquidum/CNBR
6.948836205751121,7.8995482629790335,0.58% Paraffinum liquidum/CNBR
9.275652604077877,7.747436984834539,0.58% Paraffinum liquidum/CNBR
15.632320142550762,7.60503511886717,0.58% Paraffinum liquidum/CNBR
