Drying Time (h),Complex Viscosity (Pa·s)
1.3330958358204348,-0.9193021984899472,exfoliated graphene/PEG
2.8375737389243927,-0.483667925430197,exfoliated graphene/PEG
3.162426375411591,-1.120730810156634,exfoliated graphene/PEG
3.663637009528722,-0.9425838775371722,exfoliated graphene/PEG
13.188058638630109,1.5155833771158025,exfoliated graphene/PEG
19.913076840620512,7.085521446681735,exfoliated graphene/PEG
1.3330958358204348,3.5997133844560283,Buckminsterfullerene/PEG
2.8375737389243927,4.299035661156069,Buckminsterfullerene/PEG
3.162426375411591,3.248275280686715,Buckminsterfullerene/PEG
3.663637009528722,4.438645344140337,Buckminsterfullerene/PEG
13.188058638630109,6.550370209878662,Buckminsterfullerene/PEG
19.913076840620512,7.500645861332975,Buckminsterfullerene/PEG
1.3330958358204348,4.964609709119717,silica gel/PEG
2.8375737389243927,5.03625904988434,silica gel/PEG
3.162426375411591,5.905160049757648,silica gel/PEG
3.663637009528722,7.337754065153347,silica gel/PEG
13.188058638630109,42.03585840166119,silica gel/PEG
19.913076840620512,-209.98433249570962,silica gel/PEG
