Holding Time (min),Degradation Temperature (°C)
0.15624539980350294,6.379503863154936,0.39% TPP/CAB
6.8468483716549144,7.766040987092014,0.39% TPP/CAB
7.448565222808261,7.764018298422826,0.39% TPP/CAB
9.7621218726752,10.373878540389091,0.39% TPP/CAB
18.692432745334226,17.700063104214962,0.39% TPP/CAB
0.15624539980350294,6.671763128059162,0.3% TPP/CAB
6.8468483716549144,6.135487844580746,0.3% TPP/CAB
7.448565222808261,6.214682643549909,0.3% TPP/CAB
9.7621218726752,6.02629252103189,0.3% TPP/CAB
18.692432745334226,5.802141772369294,0.3% TPP/CAB
