UV Exposure Time (h),Thermal Stability (°C)
1,-7.241523645209818,0.87% titania/SBR
6,-7.750973339200813,0.87% titania/SBR
7,-7.778033980310623,0.87% titania/SBR
10,-7.8645927848329045,0.87% titania/SBR
11,-7.877615744451839,0.87% titania/SBR
14,-7.898421611543308,0.87% titania/SBR
1,-2.4123852882823162,0.38% titania/SBR
6,-3.256504823250279,0.38% titania/SBR
7,-3.281309351341842,0.38% titania/SBR
10,-3.3605209986815137,0.38% titania/SBR
11,-3.36769071396665,0.38% titania/SBR
14,-3.396213161531206,0.38% titania/SBR
1,-5.079134662716842,0.95% titania/SBR
6,-5.637464552933299,0.95% titania/SBR
7,-5.66504585392364,0.95% titania/SBR
10,-5.725930619263022,0.95% titania/SBR
11,-5.742216182413445,0.95% titania/SBR
14,-5.7668369652782925,0.95% titania/SBR
