Hardness (HV),Thermal Stability (°C)
6.567288872816864,1.0367877867281177,graphite nanoplatelets/triglycidyl para-aminophenol
9.94783291289383,1.8794343214374942,graphite nanoplatelets/triglycidyl para-aminophenol
12.019449500693165,1.0429315818024734,graphite nanoplatelets/triglycidyl para-aminophenol
18.47559572826735,7.67408299538018,graphite nanoplatelets/triglycidyl para-aminophenol
19.597587597428294,-1.4007313276839737,graphite nanoplatelets/triglycidyl para-aminophenol
3.7915626985130557,8.114123916985518,silver hexafluoroantimonate/triglycidyl para-aminophenol
8.800287198158918,7.90222740677896,silver hexafluoroantimonate/triglycidyl para-aminophenol
10.223926777464902,7.743897039914334,silver hexafluoroantimonate/triglycidyl para-aminophenol
18.363541025422965,7.624145584059694,silver hexafluoroantimonate/triglycidyl para-aminophenol
19.630993528946014,7.6044830617815,silver hexafluoroantimonate/triglycidyl para-aminophenol
2.553179894419282,0.9980576591188854,Graphite/triglycidyl para-aminophenol
7.429496712902381,11.684386964249759,Graphite/triglycidyl para-aminophenol
11.401057902539872,21.186396754982177,Graphite/triglycidyl para-aminophenol
13.541662477353672,24.134860393727877,Graphite/triglycidyl para-aminophenol
14.245872273194017,110.86482552544987,Graphite/triglycidyl para-aminophenol
