Melting Temperature (°C),Peel Strength (N/m)
3,2.6217833164935764,PDMS
5,2.8288537906763276,PDMS
8,13.707783363734912,PDMS
9,15.387592920762696,PDMS
11,-2.644333842901908,PDMS
15,51.25116734394332,PDMS
16,-30.377863819924144,PDMS
3,5.037548241719305,Poly(glycidyl methacrylate)
5,5.913700720806142,Poly(glycidyl methacrylate)
8,5.307826341955303,Poly(glycidyl methacrylate)
9,5.445562013010675,Poly(glycidyl methacrylate)
11,8.770954908231406,Poly(glycidyl methacrylate)
15,16.944617760574886,Poly(glycidyl methacrylate)
16,15.773191260091174,Poly(glycidyl methacrylate)
