Strain,X-ray Diffraction Intensity
0.28778586083786584,-4.85969349273147,0.44% Cu(HO3PC6H5)2
3.9334177893542144,-5.029130031030826,0.44% Cu(HO3PC6H5)2
8.704497744787673,-5.298987224941615,0.44% Cu(HO3PC6H5)2
16.47035011961919,-5.489786220311696,0.44% Cu(HO3PC6H5)2
17.3322268383456,-5.5014603075694986,0.44% Cu(HO3PC6H5)2
0.28778586083786584,7.738161202356774,0.69% Cu(HO3PC6H5)2
3.9334177893542144,7.48130733957414,0.69% Cu(HO3PC6H5)2
8.704497744787673,7.126814109091592,0.69% Cu(HO3PC6H5)2
16.47035011961919,6.913359261091751,0.69% Cu(HO3PC6H5)2
17.3322268383456,6.894931672085767,0.69% Cu(HO3PC6H5)2
0.28778586083786584,0.8019860288029603,0.96% Cu(HO3PC6H5)2
3.9334177893542144,2.809232123382108,0.96% Cu(HO3PC6H5)2
8.704497744787673,4.974823264947065,0.96% Cu(HO3PC6H5)2
16.47035011961919,270.86564968552324,0.96% Cu(HO3PC6H5)2
17.3322268383456,205.53537027144137,0.96% Cu(HO3PC6H5)2
0.28778586083786584,6.12257472243153,0.44% Cu(HO3PC6H5)2
3.9334177893542144,7.004040944861215,0.44% Cu(HO3PC6H5)2
8.704497744787673,6.378753943224229,0.44% Cu(HO3PC6H5)2
16.47035011961919,3.8943723664946557,0.44% Cu(HO3PC6H5)2
17.3322268383456,3.631810485838173,0.44% Cu(HO3PC6H5)2
