Crosslinking Density (mol/m³),Heat Of Crystallization (J/g)
1.2004163263717338,-3.155182866475818,DGEBD Epoxy Resin
4.082950360794144,-2.7335568377448896,DGEBD Epoxy Resin
16.846355885891352,2.735345066397807,DGEBD Epoxy Resin
17.191029872244577,12.50283128591616,DGEBD Epoxy Resin
1.2004163263717338,-5.726770113645638,bisphenol-A phthalonitrile resin
4.082950360794144,-6.123104673178664,bisphenol-A phthalonitrile resin
16.846355885891352,-6.387514065148683,bisphenol-A phthalonitrile resin
17.191029872244577,-6.387922981136847,bisphenol-A phthalonitrile resin
1.2004163263717338,-5.8935126524270105,EPDM
4.082950360794144,-4.664312225070272,EPDM
16.846355885891352,87.51013314319685,EPDM
17.191029872244577,-146.07028984603124,EPDM
1.2004163263717338,2.908182919859189,PPSU
4.082950360794144,2.4648480502249335,PPSU
16.846355885891352,7.039999116373222,PPSU
17.191029872244577,3.314987711375288,PPSU
1.2004163263717338,1.2360945997272492,Poly(glycidyl methacrylate)
4.082950360794144,0.6555332407196732,Poly(glycidyl methacrylate)
16.846355885891352,0.38587030106862824,Poly(glycidyl methacrylate)
17.191029872244577,0.3853986028356492,Poly(glycidyl methacrylate)
