Frequency (Hz),Intrinsic Viscosity (dl/g)
1,-6.858202072595957,Nylon 11
6,-7.123864634178528,Nylon 11
11,-7.3869698617453405,Nylon 11
18,-7.570877065901393,Nylon 11
0.7794507051184008,-3.7967770412273865,Poly(vinyl butyral)
3.6247381551954105,-4.048070305892209,Poly(vinyl butyral)
15.478094496969124,-4.403374583637601,Poly(vinyl butyral)
15.593350316512938,-4.394469556094368,Poly(vinyl butyral)
2.3033525665128485,6.45256987692522,PAN
8.419883118898666,5.991530868838201,PAN
9.632219962438684,5.974103040191035,PAN
11.020651067646003,5.956851498455593,PAN
0,7.12247508644862,Cellulose acetate butyrate
3,6.936349084593396,Cellulose acetate butyrate
8,6.883920901441038,Cellulose acetate butyrate
12,6.722795333812627,Cellulose acetate butyrate
