Curing Time (min),Passivation Current Density (A/m²)
4,-4.422504443208326,0.55% magnesium oxide
6,-4.549865429594642,0.55% magnesium oxide
10,-4.669043760042229,0.55% magnesium oxide
17,-4.71488317030062,0.55% magnesium oxide
19,-4.717289005017865,0.55% magnesium oxide
4,2.6980090871285083,0.69% magnesium oxide
6,6.863204093089228,0.69% magnesium oxide
10,32.45350242588346,0.69% magnesium oxide
17,104.31869874119052,0.69% magnesium oxide
19,284.5257026579223,0.69% magnesium oxide
4,6.352326274144402,0.93% magnesium oxide
6,6.147330215243509,0.93% magnesium oxide
10,5.971855027603125,0.93% magnesium oxide
17,5.813613025457003,0.93% magnesium oxide
19,5.768209310643971,0.93% magnesium oxide
4,10.710894446996786,0.49% magnesium oxide
6,16.236214595052125,0.49% magnesium oxide
10,34.101551761241595,0.49% magnesium oxide
17,76.02424851193673,0.49% magnesium oxide
19,6.17797639975819,0.49% magnesium oxide
