Incubation Time (h),Zeta Potential (mV)
14.820310452208837,7.221629837703629,PMMA-PnBA
14.939827344106897,7.2217505471097345,PMMA-PnBA
16.881773432855045,7.217171571427208,PMMA-PnBA
14.820310452208837,17.268494722258417,PTrFE
14.939827344106897,11.59228558877655,PTrFE
16.881773432855045,-2.2736281308580697,PTrFE
14.820310452208837,7.725906828261738,Poly(ethyl acrylate)
14.939827344106897,7.7597021236633985,Poly(ethyl acrylate)
16.881773432855045,7.69412170690835,Poly(ethyl acrylate)
14.820310452208837,0.5656977066431447,S-SEBS
14.939827344106897,0.5685686305681288,S-SEBS
16.881773432855045,0.5263334060321602,S-SEBS
14.820310452208837,13.456535060414005,Nylon 66
14.939827344106897,12.150642962382761,Nylon 66
16.881773432855045,19.55527036896857,Nylon 66
