Stirring Speed (rpm),Loss Factor
1.2290447391914738,-6.867534632315084,0.87% CaCu3Ti4O12
6.830224914121192,-7.393401085182518,0.87% CaCu3Ti4O12
11.854998922228265,-7.567220855689873,0.87% CaCu3Ti4O12
12.334692780172274,-7.59867279838863,0.87% CaCu3Ti4O12
17.423606783410822,-7.713175422581755,0.87% CaCu3Ti4O12
17.456851281306307,-7.712510002978435,0.87% CaCu3Ti4O12
1.2290447391914738,-4.348617404527293,0.49% CaCu3Ti4O12
6.830224914121192,4.301809881624269,0.49% CaCu3Ti4O12
11.854998922228265,39.49815337878005,0.49% CaCu3Ti4O12
12.334692780172274,17.93271232947383,0.49% CaCu3Ti4O12
17.423606783410822,140.57381152633198,0.49% CaCu3Ti4O12
17.456851281306307,312.5801079543612,0.49% CaCu3Ti4O12
