Incubation Temperature (°C),Conductivity (S/m)
4,-4.860736421577087,
7,-4.341119421318438,
9,-4.006948079483874,
12,-2.2214820248210243,
15,-2.113189568027487,
4,-4.672894886363158,
7,-3.773560809574452,
9,-5.036140600132821,
12,-2.871551866913851,
15,-3.1767669395713893,
4,7.324203241612193,
7,7.2321161462111325,
9,7.133506141576962,
12,7.032429166598299,
15,6.94594003575133,
4,2.960569429211598,
7,2.8560153243128,
9,2.7881397292430883,
12,2.713050325807802,
15,2.6160422413844215,
4,7.531567051850454,
7,7.314081072094043,
9,7.273056869552865,
12,7.2296546637965236,
15,7.21296868524086,
