Pore Size (nm),Remanence (A/m)
3.401541837916542,-6.551053791041851,0.3% barium titanate
11.969989032173746,-6.872640386586267,0.3% barium titanate
16.092831441045664,-6.892856493572993,0.3% barium titanate
3.401541837916542,1.6353573216983368,0.12% barium titanate
11.969989032173746,1.2621961567418012,0.12% barium titanate
16.092831441045664,1.2447140463858766,0.12% barium titanate
3.401541837916542,3.7641634078219566,0.95% barium titanate
11.969989032173746,4.948154074141968,0.95% barium titanate
16.092831441045664,7.9722200987002045,0.95% barium titanate
3.401541837916542,3.73516167855612,0.79% barium titanate
11.969989032173746,3.3403017525100047,0.79% barium titanate
16.092831441045664,3.2444845638870423,0.79% barium titanate
