Filler Content (%),Magnetic Permeability (H/m)
3.5455088190536976,1.8982079899470579,Graphene/Epoxy novolac viny ester resin
3.8098694654530263,2.1244617566120576,Graphene/Epoxy novolac viny ester resin
7.447282044756416,1.584482677517347,Graphene/Epoxy novolac viny ester resin
8.054779347205425,-0.1669264352635258,Graphene/Epoxy novolac viny ester resin
3.5455088190536976,7.216790216174528,octyldimethylmethoxysilane/Epoxy novolac viny ester resin
3.8098694654530263,7.433646616819289,octyldimethylmethoxysilane/Epoxy novolac viny ester resin
7.447282044756416,8.555570444589108,octyldimethylmethoxysilane/Epoxy novolac viny ester resin
8.054779347205425,9.963656087808786,octyldimethylmethoxysilane/Epoxy novolac viny ester resin
3.5455088190536976,-3.2497313593738175,TiO2/Epoxy novolac viny ester resin
3.8098694654530263,-3.0732141428163775,TiO2/Epoxy novolac viny ester resin
7.447282044756416,4.001876466959667,TiO2/Epoxy novolac viny ester resin
8.054779347205425,8.253487404880499,TiO2/Epoxy novolac viny ester resin
3.5455088190536976,1.0623810230486246,MoS2/Epoxy novolac viny ester resin
3.8098694654530263,1.1800628730678049,MoS2/Epoxy novolac viny ester resin
7.447282044756416,0.8285064266996209,MoS2/Epoxy novolac viny ester resin
8.054779347205425,0.7616549412018391,MoS2/Epoxy novolac viny ester resin
3.5455088190536976,2.5046813595008945,graphene nanoribbon/Epoxy novolac viny ester resin
3.8098694654530263,2.493829615413964,graphene nanoribbon/Epoxy novolac viny ester resin
7.447282044756416,2.265124150129105,graphene nanoribbon/Epoxy novolac viny ester resin
8.054779347205425,2.2675394227033006,graphene nanoribbon/Epoxy novolac viny ester resin
