Strain,Dynamic Viscosity (Pa·s)
1,-5.857573634975643,0.39% Magnesium oxide/PEVA
4,-6.366743181845175,0.39% Magnesium oxide/PEVA
5,-6.449346348249132,0.39% Magnesium oxide/PEVA
11,-6.656524544416098,0.39% Magnesium oxide/PEVA
15,-6.678626604676605,0.39% Magnesium oxide/PEVA
1,6.655829447822733,0.97% Magnesium oxide/PEVA
4,6.123751151747959,0.97% Magnesium oxide/PEVA
5,5.9959399642388895,0.97% Magnesium oxide/PEVA
11,5.867178764661522,0.97% Magnesium oxide/PEVA
15,5.841117462328975,0.97% Magnesium oxide/PEVA
1,-3.318475335062983,0.16% Magnesium oxide/PEVA
4,-0.871773710452393,0.16% Magnesium oxide/PEVA
5,1.334672113880142,0.16% Magnesium oxide/PEVA
11,22.563726693020442,0.16% Magnesium oxide/PEVA
15,-81.45103688294606,0.16% Magnesium oxide/PEVA
1,-3.015394728855784,0.74% Magnesium oxide/PEVA
4,-2.815261444311089,0.74% Magnesium oxide/PEVA
5,0.36577986057956124,0.74% Magnesium oxide/PEVA
11,7.588057383149621,0.74% Magnesium oxide/PEVA
15,134.29645098975843,0.74% Magnesium oxide/PEVA
1,2.504923484650052,0.16% Magnesium oxide/PEVA
4,2.502426860676187,0.16% Magnesium oxide/PEVA
5,3.7331282735651414,0.16% Magnesium oxide/PEVA
11,2.60578877081245,0.16% Magnesium oxide/PEVA
15,2.346868275910837,0.16% Magnesium oxide/PEVA
