Pore Volume (cm³/g),Shear Strength (MPa)
5.652030276027515,-3.1366661394007536,Poly(vinyl butyral)
6.333524164461215,-3.2998888456485607,Poly(vinyl butyral)
11.159810488376102,-3.4179566295200994,Poly(vinyl butyral)
18.219373861234697,-3.5884021767937098,Poly(vinyl butyral)
8.330282127855673,-4.053714713097943,PVC-P
16.115269378011437,-6.974533275509879,PVC-P
16.136859311439597,3.9718044400891337,PVC-P
18.95502348929898,3.626379515557918,PVC-P
6.545991709554868,-4.1751581484365765,P(BA-a)
7.983174714967292,-2.6396993350169082,P(BA-a)
17.43779072169924,-11.872096194850894,P(BA-a)
18.65004392732196,0.825347066875052,P(BA-a)
