Polymer Molecular Weight (g/mol),Kinematic Viscosity (mm²/s)
4.135889235654884,6.646569369237824,Molybdenum Disulfide/BR
12.002680912274224,33.94166926716856,Molybdenum Disulfide/BR
18.743013211411125,1612.0170023201335,Molybdenum Disulfide/BR
4.135889235654884,4.893144676277553,CaCu3Ti4O12/BR
12.002680912274224,4.621970794304438,CaCu3Ti4O12/BR
18.743013211411125,4.597907431194978,CaCu3Ti4O12/BR
4.135889235654884,7.065681104484395,SWCNTs/BR
12.002680912274224,6.717388028328229,SWCNTs/BR
18.743013211411125,6.690425617917733,SWCNTs/BR
4.135889235654884,-0.522980089380432,TiO2/BR
12.002680912274224,4.031113126059983,TiO2/BR
18.743013211411125,-2.810179571714353,TiO2/BR
4.135889235654884,-4.113986883195669,SAF/BR
12.002680912274224,0.05827033217895394,SAF/BR
18.743013211411125,-1.048282374919732,SAF/BR
