Synthesis Time (min),Electrochemical Potential (V)
0,3.5042166686806935,0.89% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
1,3.558885366150755,0.89% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
12,2.8394761779052997,0.89% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
14,2.8282306034952187,0.89% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
15,2.823563731154984,0.89% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
17,2.8190665427943604,0.89% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
0,-6.363197202711441,0.21% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
1,-6.175033897200612,0.21% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
12,38.65692413654679,0.21% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
14,85.07597684990107,0.21% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
15,100.28590714418245,0.21% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
17,369.4223844022821,0.21% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
0,-0.9249531633989236,0.01% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
1,-1.141075670556274,0.01% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
12,-1.808024550320074,0.01% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
14,-1.8654424220932502,0.01% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
15,-1.898616893402006,0.01% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
17,-1.9305153750790793,0.01% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
0,-4.312417505262602,0.53% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
1,-3.917654398947649,0.53% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
12,-2.010826293017646,0.53% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
14,3.359863227997508,0.53% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
15,2.7686128738776628,0.53% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
17,3.4024229553667347,0.53% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
0,5.927091500654993,0.69% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
1,5.243490960567582,0.69% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
12,4.894588166867726,0.69% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
14,4.833387750000378,0.69% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
15,4.797665013755484,0.69% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
17,4.7527705678453085,0.69% CaCu3Ti4O12/Poly(styrene-co-acrylonitrile)
